Trial #,SVC - VHD - accuracy,SVC - Cath - accuracy,SVC - VHD - balanced accuracy,SVC - Cath - balanced accuracy,SVC - VHD - f1 score,SVC - Cath - f1 score,SVC - VHD - jaccard score,SVC - Cath - jaccard score,GradientBoosting - VHD - accuracy,GradientBoosting - Cath - accuracy,GradientBoosting - VHD - balanced accuracy,GradientBoosting - Cath - balanced accuracy,GradientBoosting - VHD - f1 score,GradientBoosting - Cath - f1 score,GradientBoosting - VHD - jaccard score,GradientBoosting - Cath - jaccard score,GaussianNB - VHD - accuracy,GaussianNB - Cath - accuracy,GaussianNB - VHD - balanced accuracy,GaussianNB - Cath - balanced accuracy,GaussianNB - VHD - f1 score,GaussianNB - Cath - f1 score,GaussianNB - VHD - jaccard score,GaussianNB - Cath - jaccard score,DecisionTree - VHD - accuracy,DecisionTree - Cath - accuracy,DecisionTree - VHD - balanced accuracy,DecisionTree - Cath - balanced accuracy,DecisionTree - VHD - f1 score,DecisionTree - Cath - f1 score,DecisionTree - VHD - jaccard score,DecisionTree - Cath - jaccard score,KNeighbors - VHD - accuracy,KNeighbors - Cath - accuracy,KNeighbors - VHD - balanced accuracy,KNeighbors - Cath - balanced accuracy,KNeighbors - VHD - f1 score,KNeighbors - Cath - f1 score,KNeighbors - VHD - jaccard score,KNeighbors - Cath - jaccard score,AdaBoost - VHD - accuracy,AdaBoost - Cath - accuracy,AdaBoost - VHD - balanced accuracy,AdaBoost - Cath - balanced accuracy,AdaBoost - VHD - f1 score,AdaBoost - Cath - f1 score,AdaBoost - VHD - jaccard score,AdaBoost - Cath - jaccard score,RandomForest - VHD - accuracy,RandomForest - Cath - accuracy,RandomForest - VHD - balanced accuracy,RandomForest - Cath - balanced accuracy,RandomForest - VHD - f1 score,RandomForest - Cath - f1 score,RandomForest - VHD - jaccard score,RandomForest - Cath - jaccard score,MLP - VHD - accuracy,MLP - Cath - accuracy,MLP - VHD - balanced accuracy,MLP - Cath - balanced accuracy,MLP - VHD - f1 score,MLP - Cath - f1 score,MLP - VHD - jaccard score,MLP - Cath - jaccard score,QuadraticDiscriminantAnalysis - VHD - accuracy,QuadraticDiscriminantAnalysis - Cath - accuracy,QuadraticDiscriminantAnalysis - VHD - balanced accuracy,QuadraticDiscriminantAnalysis - Cath - balanced accuracy,QuadraticDiscriminantAnalysis - VHD - f1 score,QuadraticDiscriminantAnalysis - Cath - f1 score,QuadraticDiscriminantAnalysis - VHD - jaccard score,QuadraticDiscriminantAnalysis - Cath - jaccard score,CatBoost - VHD - accuracy,CatBoost - Cath - accuracy,CatBoost - VHD - balanced accuracy,CatBoost - Cath - balanced accuracy,CatBoost - VHD - f1 score,CatBoost - Cath - f1 score,CatBoost - VHD - jaccard score,CatBoost - Cath - jaccard score,ExtraTrees - VHD - accuracy,ExtraTrees - Cath - accuracy,ExtraTrees - VHD - balanced accuracy,ExtraTrees - Cath - balanced accuracy,ExtraTrees - VHD - f1 score,ExtraTrees - Cath - f1 score,ExtraTrees - VHD - jaccard score,ExtraTrees - Cath - jaccard score,Bagging - VHD - accuracy,Bagging - Cath - accuracy,Bagging - VHD - balanced accuracy,Bagging - Cath - balanced accuracy,Bagging - VHD - f1 score,Bagging - Cath - f1 score,Bagging - VHD - jaccard score,Bagging - Cath - jaccard score,Ridge - VHD - accuracy,Ridge - Cath - accuracy,Ridge - VHD - balanced accuracy,Ridge - Cath - balanced accuracy,Ridge - VHD - f1 score,Ridge - Cath - f1 score,Ridge - VHD - jaccard score,Ridge - Cath - jaccard score,PassiveAggressive - VHD - accuracy,PassiveAggressive - Cath - accuracy,PassiveAggressive - VHD - balanced accuracy,PassiveAggressive - Cath - balanced accuracy,PassiveAggressive - VHD - f1 score,PassiveAggressive - Cath - f1 score,PassiveAggressive - VHD - jaccard score,PassiveAggressive - Cath - jaccard score,SGDOneClassSVM - VHD - accuracy,SGDOneClassSVM - Cath - accuracy,SGDOneClassSVM - VHD - balanced accuracy,SGDOneClassSVM - Cath - balanced accuracy,SGDOneClassSVM - VHD - f1 score,SGDOneClassSVM - Cath - f1 score,SGDOneClassSVM - VHD - jaccard score,SGDOneClassSVM - Cath - jaccard score,Dummy - VHD - accuracy,Dummy - Cath - accuracy,Dummy - VHD - balanced accuracy,Dummy - Cath - balanced accuracy,Dummy - VHD - f1 score,Dummy - Cath - f1 score,Dummy - VHD - jaccard score,Dummy - Cath - jaccard score,HistGradientBoosting - VHD - accuracy,HistGradientBoosting - Cath - accuracy,HistGradientBoosting - VHD - balanced accuracy,HistGradientBoosting - Cath - balanced accuracy,HistGradientBoosting - VHD - f1 score,HistGradientBoosting - Cath - f1 score,HistGradientBoosting - VHD - jaccard score,HistGradientBoosting - Cath - jaccard score,ComplementNB - VHD - accuracy,ComplementNB - Cath - accuracy,ComplementNB - VHD - balanced accuracy,ComplementNB - Cath - balanced accuracy,ComplementNB - VHD - f1 score,ComplementNB - Cath - f1 score,ComplementNB - VHD - jaccard score,ComplementNB - Cath - jaccard score
0,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.573770492,0.672131148,0.39449113,0.567307692,0.624220734,0.686861487,0.467094322,0.548477752,0.37704918,0.672131148,0.481313131,0.353448276,0.33185284,0.764384442,0.219945355,0.639075517,0.360655738,0.606557377,0.198607427,0.526942356,0.369688859,0.60020333,0.233242259,0.450372578,0.557377049,0.62295082,0.387820513,0.411556604,0.587553269,0.6733277,0.426389444,0.541256831,0.508196721,0.672131148,0.270140665,0.532051282,0.532916992,0.708911307,0.373761725,0.577752108,0.475409836,0.721311475,0.48255814,0.61440678,0.52116931,0.81102725,0.354114124,0.694990893,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.475409836,0.606557377,0.269736842,0.440909091,0.502956195,0.636155264,0.344510681,0.500117554,0.540983607,0.721311475,0.538671024,0.721311475,0.584064533,0.838095238,0.412816692,0.721311475,0.475409836,0.721311475,0.24068323,0.632352941,0.506147541,0.747170294,0.352519434,0.619517777,0.442622951,0.672131148,0.222321429,0.592245989,0.473426055,0.672131148,0.317702667,0.526411658,0.524590164,0.721311475,0.65,0.721311475,0.628240805,0.838095238,0.464624676,0.721311475,0.524590164,0.721311475,0.597222222,0.721311475,0.57383478,0.838095238,0.402757079,0.721311475,0.278688525,0.540983607,0.2125,0.375,0.32311713,0.540983607,0.214375788,0.432786885,0.475409836,0.721311475,0.475409836,0.721311475,0.644444444,0.838095238,0.475409836,0.721311475,0.540983607,0.704918033,0.285762483,0.607272727,0.576847132,0.727116448,0.416296875,0.5954078,0.491803279,0.721311475,0.741666667,0.721311475,0.642368146,0.838095238,0.476122594,0.721311475
1,0.426229508,0.704918033,0.426229508,0.704918033,0.597701149,0.826923077,0.426229508,0.704918033,0.442622951,0.557377049,0.258900929,0.41025641,0.449533484,0.580912477,0.30064386,0.441482787,0.213114754,0.62295082,0.33246337,0.486363636,0.148311616,0.654266732,0.083927163,0.515436796,0.491803279,0.573770492,0.503753754,0.469444444,0.504944054,0.581463137,0.340067024,0.436180615,0.459016393,0.573770492,0.466216216,0.330188679,0.482956024,0.633538251,0.318899796,0.498521903,0.409836066,0.573770492,0.321861472,0.383333333,0.404996304,0.616522996,0.256214809,0.479842137,0.524590164,0.672131148,0.59118541,0.475877193,0.568727926,0.753502235,0.399871424,0.62607338,0.426229508,0.704918033,0.426229508,0.704918033,0.597701149,0.826923077,0.426229508,0.704918033,0.016393443,0.672131148,0.016393443,0.521212121,0.032258065,0.734024757,0.016393443,0.604940766,0.409836066,0.704918033,0.424145299,0.704918033,0.489281211,0.826923077,0.330925675,0.704918033,0.426229508,0.557377049,0.242857143,0.326923077,0.45750509,0.610181191,0.301543114,0.475141091,0.426229508,0.491803279,0.306547619,0.40037594,0.444113264,0.487925148,0.2898777,0.348003192,0.442622951,0.704918033,0.548850575,0.704918033,0.571925342,0.826923077,0.406062616,0.704918033,0.081967213,0.704918033,0.533333333,0.704918033,0.124008461,0.826923077,0.066120219,0.704918033,0.163934426,0.229508197,0.25,0.35,0.142551675,0.14571949,0.091074681,0.093676815,0.426229508,0.704918033,0.426229508,0.704918033,0.597701149,0.826923077,0.426229508,0.704918033,0.475409836,0.557377049,0.264864865,0.375454545,0.484725475,0.594139207,0.327700041,0.457259953,0.426229508,0.704918033,0.426229508,0.704918033,0.597701149,0.826923077,0.426229508,0.704918033
2,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.475409836,0.573770492,0.236607143,0.388605442,0.503503348,0.595146744,0.345328616,0.462477231,0.327868852,0.491803279,0.43452381,0.447222222,0.275054023,0.464258741,0.170322559,0.320387718,0.409836066,0.606557377,0.362889984,0.44047619,0.417861767,0.626289302,0.267509184,0.491653664,0.409836066,0.672131148,0.266214178,0.446969697,0.433745869,0.730253353,0.285519126,0.605776737,0.442622951,0.573770492,0.319487179,0.422492401,0.441968026,0.583345213,0.285880003,0.447346485,0.491803279,0.672131148,0.323809524,0.359649123,0.52469891,0.7512054,0.361253675,0.628056974,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.442622951,0.590163934,0.5375,0.500626566,0.45540525,0.579665671,0.299534732,0.433060109,0.508196721,0.737704918,0.480487805,0.737704918,0.554682237,0.849056604,0.391147541,0.737704918,0.557377049,0.62295082,0.366627497,0.411324786,0.597280468,0.662132838,0.432889344,0.531830601,0.524590164,0.68852459,0.273809524,0.577724359,0.546800635,0.69961159,0.387197502,0.56430523,0.573770492,0.737704918,0.584313725,0.737704918,0.649812364,0.849056604,0.489981785,0.737704918,0.508196721,0.262295082,0.258333333,0.262295082,0.662865289,0.415584416,0.499865628,0.262295082,0.344262295,0.62295082,0.238636364,0.387755102,0.3986195,0.649459365,0.275409836,0.545081967,0.524590164,0.737704918,0.524590164,0.737704918,0.688172043,0.849056604,0.524590164,0.737704918,0.540983607,0.557377049,0.376851852,0.34,0.574249832,0.586712683,0.413181666,0.456866434,0.524590164,0.737704918,0.512711864,0.737704918,0.66196099,0.849056604,0.501288056,0.737704918
3,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.426229508,0.721311475,0.235416667,0.570512821,0.424800014,0.717174244,0.283198682,0.592793459,0.163934426,0.786885246,0.111904762,0.4,0.198683832,0.866295684,0.116989568,0.773985488,0.409836066,0.590163934,0.25625,0.445187166,0.385370094,0.565850338,0.25539258,0.436314614,0.491803279,0.737704918,0.251748252,0.530660377,0.513068752,0.758791385,0.349925835,0.647803402,0.442622951,0.770491803,0.388416903,0.60259434,0.440437158,0.788942462,0.287289582,0.682273135,0.508196721,0.786885246,0.329346093,0.610714286,0.541506296,0.823657988,0.381757935,0.726683338,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.016393443,0.770491803,0.016393443,0.60259434,0.032258065,0.788942462,0.016393443,0.682273135,0.459016393,0.803278689,0.383597884,0.803278689,0.556862745,0.890909091,0.398305085,0.803278689,0.459016393,0.704918033,0.315359477,0.501960784,0.476123528,0.71538003,0.319799395,0.597388163,0.426229508,0.672131148,0.21875,0.511398176,0.442231225,0.662936108,0.290588151,0.534740826,0.540983607,0.803278689,0.524509804,0.803278689,0.62064871,0.890909091,0.462789487,0.803278689,0.491803279,0.803278689,0.25,0.803278689,0.648531796,0.890909091,0.48374093,0.803278689,0.426229508,0.655737705,0.276595745,0.408163265,0.513661202,0.655737705,0.385245902,0.553985302,0.508196721,0.803278689,0.508196721,0.803278689,0.673913043,0.890909091,0.508196721,0.803278689,0.459016393,0.770491803,0.247435897,0.621568627,0.465488211,0.778628912,0.313397129,0.667146007,0.508196721,0.803278689,0.504237288,0.803278689,0.647431694,0.890909091,0.484972678,0.803278689
4,0.508196721,0.62295082,0.508196721,0.62295082,0.673913043,0.767676768,0.508196721,0.62295082,0.459016393,0.606557377,0.297924298,0.539529915,0.49968584,0.662021858,0.339195231,0.514606188,0.31147541,0.655737705,0.376019814,0.660606061,0.27349075,0.725177337,0.162255795,0.585194133,0.459016393,0.639344262,0.285416667,0.602727273,0.464220661,0.678399229,0.322485241,0.530444965,0.409836066,0.557377049,0.408064516,0.426886792,0.439344262,0.627983333,0.284720894,0.48028667,0.327868852,0.62295082,0.250237417,0.576530612,0.328139209,0.658364963,0.204371585,0.508063107,0.475409836,0.62295082,0.427536232,0.62295082,0.540344901,0.767676768,0.382462109,0.62295082,0.508196721,0.62295082,0.508196721,0.62295082,0.673913043,0.767676768,0.508196721,0.62295082,0.508196721,0.62295082,0.450793651,0.570754717,0.524033881,0.683096914,0.358420268,0.537692136,0.475409836,0.639344262,0.437834225,0.816666667,0.532789839,0.764163042,0.372981329,0.623663578,0.442622951,0.540983607,0.289507114,0.367724868,0.475865209,0.623473509,0.325213084,0.476088185,0.573770492,0.606557377,0.568130631,0.539529915,0.624967125,0.662021858,0.455084726,0.514606188,0.508196721,0.62295082,0.481837607,0.62295082,0.595312851,0.767676768,0.434613583,0.62295082,0.508196721,0.62295082,0.508196721,0.62295082,0.673913043,0.767676768,0.508196721,0.62295082,0.360655738,0.442622951,0.255813953,0.306818182,0.419140452,0.475009996,0.298234552,0.354098361,0.508196721,0.62295082,0.508196721,0.62295082,0.673913043,0.767676768,0.508196721,0.62295082,0.459016393,0.590163934,0.31374808,0.475757576,0.489071038,0.672830163,0.328449761,0.526874749,0.508196721,0.62295082,0.504237288,0.62295082,0.647789369,0.767676768,0.485167838,0.62295082
5,0.557377049,0.672131148,0.557377049,0.672131148,0.715789474,0.803921569,0.557377049,0.672131148,0.459016393,0.606557377,0.233766234,0.51899696,0.473364277,0.627860086,0.321623731,0.479851409,0.114754098,0.524590164,0.10016835,0.415217391,0.13745853,0.544886807,0.078220141,0.400102459,0.344262295,0.590163934,0.246875,0.503623188,0.33535863,0.607661041,0.207405709,0.458430913,0.409836066,0.606557377,0.416666667,0.483333333,0.436175406,0.650748396,0.279021725,0.508322342,0.360655738,0.62295082,0.203947368,0.521818182,0.352707402,0.659038476,0.226270492,0.515642476,0.540983607,0.655737705,0.512919897,0.333333333,0.585341995,0.779094303,0.420304822,0.644987906,0.557377049,0.672131148,0.557377049,0.672131148,0.715789474,0.803921569,0.557377049,0.672131148,0.016393443,0.557377049,0.016393443,0.372863248,0.032258065,0.615146155,0.016393443,0.47412178,0.393442623,0.672131148,0.465136054,0.672131148,0.461511048,0.803921569,0.303068516,0.672131148,0.459016393,0.639344262,0.297348485,0.527122642,0.459492729,0.693607056,0.308128415,0.555025438,0.409836066,0.557377049,0.290740741,0.49122807,0.409693514,0.560385299,0.262582686,0.407153502,0.590163934,0.672131148,0.572727273,0.672131148,0.657611241,0.803921569,0.500455373,0.672131148,0.557377049,0.327868852,0.545054945,0.327868852,0.593205037,0.49382716,0.42356597,0.327868852,0.426229508,0.508196721,0.282608696,0.336956522,0.490163934,0.537403429,0.363084396,0.417447307,0.557377049,0.672131148,0.557377049,0.672131148,0.715789474,0.803921569,0.557377049,0.672131148,0.37704918,0.606557377,0.205119215,0.503401361,0.375872215,0.638251366,0.241351623,0.493159127,0.62295082,0.672131148,0.798245614,0.672131148,0.721060835,0.803921569,0.571182053,0.672131148
6,0.573770492,0.639344262,0.573770492,0.639344262,0.729166667,0.78,0.573770492,0.639344262,0.426229508,0.475409836,0.221428571,0.327380952,0.435589183,0.522749189,0.28759698,0.38082464,0.213114754,0.360655738,0.247354497,0.425438596,0.277557281,0.47922709,0.16557377,0.319953375,0.409836066,0.524590164,0.284051724,0.479166667,0.399250409,0.527109262,0.259260244,0.370522162,0.360655738,0.573770492,0.3495671,0.436320755,0.376984892,0.640793538,0.237074401,0.495336006,0.491803279,0.573770492,0.568181818,0.482993197,0.487384016,0.612233716,0.329102767,0.463100374,0.606557377,0.62295082,0.544072948,0.316666667,0.671408856,0.755091903,0.523420122,0.612738511,0.573770492,0.639344262,0.573770492,0.639344262,0.729166667,0.78,0.573770492,0.639344262,0.393442623,0.540983607,0.356125356,0.467361111,0.390548034,0.5608283,0.246456007,0.408594138,0.475409836,0.639344262,0.441142191,0.639344262,0.509616805,0.78,0.349385246,0.639344262,0.442622951,0.606557377,0.294444444,0.508254717,0.455446904,0.668424804,0.31132734,0.523899253,0.442622951,0.491803279,0.298611111,0.413101604,0.462942367,0.509072861,0.306523921,0.360869387,0.557377049,0.639344262,0.47995283,0.639344262,0.643621461,0.78,0.490417549,0.639344262,0.262295082,0.639344262,0.133333333,0.639344262,0.408771556,0.78,0.257995163,0.639344262,0.131147541,0.475409836,0.222222222,0.337209302,0.089081349,0.49860056,0.052459016,0.385709867,0.573770492,0.639344262,0.573770492,0.639344262,0.729166667,0.78,0.573770492,0.639344262,0.475409836,0.557377049,0.254411765,0.418803419,0.481054112,0.618569162,0.334299039,0.472525893,0.590163934,0.639344262,0.626436782,0.639344262,0.705059052,0.78,0.553394461,0.639344262
7,0.459016393,0.803278689,0.459016393,0.803278689,0.629213483,0.890909091,0.459016393,0.803278689,0.491803279,0.606557377,0.261363636,0.478682171,0.512295082,0.580042766,0.351152293,0.446014698,0.327868852,0.606557377,0.352205882,0.543918919,0.263582453,0.568433092,0.168442623,0.420566319,0.442622951,0.606557377,0.298611111,0.523892774,0.452205591,0.571052862,0.295992714,0.427521602,0.459016393,0.606557377,0.316862745,0.502439024,0.482853902,0.574863388,0.322634583,0.435966967,0.606557377,0.704918033,0.333003953,0.55775076,0.618716715,0.696642497,0.466828117,0.568907365,0.459016393,0.704918033,0.452083333,0.501960784,0.511864661,0.71538003,0.35037831,0.597388163,0.459016393,0.803278689,0.459016393,0.803278689,0.629213483,0.890909091,0.459016393,0.803278689,0.459016393,0.524590164,0.319444444,0.468888889,0.471665358,0.47742709,0.327254628,0.339582189,0.491803279,0.803278689,0.488095238,0.803278689,0.532222655,0.890909091,0.366267907,0.803278689,0.475409836,0.672131148,0.259032258,0.55749354,0.484568153,0.650035638,0.32930353,0.512177986,0.491803279,0.639344262,0.254022989,0.559440559,0.513366566,0.606798457,0.349688696,0.46088993,0.524590164,0.803278689,0.745614035,0.803278689,0.633108325,0.890909091,0.469104666,0.803278689,0.409836066,0.803278689,0.215517241,0.803278689,0.565964091,0.890909091,0.402889692,0.803278689,0.147540984,0.196721311,0.28125,0.352941176,0.107302534,0.101341282,0.067447307,0.061930783,0.459016393,0.803278689,0.459016393,0.803278689,0.629213483,0.890909091,0.459016393,0.803278689,0.524590164,0.655737705,0.447684036,0.526737968,0.536105708,0.635314284,0.370088922,0.500155306,0.508196721,0.803278689,0.74137931,0.803278689,0.629313631,0.890909091,0.464691047,0.803278689
8,0.540983607,0.573770492,0.540983607,0.573770492,0.70212766,0.729166667,0.540983607,0.573770492,0.327868852,0.606557377,0.174568966,0.603921569,0.333245197,0.657389757,0.204497793,0.504023845,0.180327869,0.606557377,0.228835979,0.673245614,0.209583535,0.703777619,0.123530386,0.555053075,0.327868852,0.557377049,0.169032258,0.526811594,0.326958106,0.586698654,0.209382914,0.427675988,0.393442623,0.655737705,0.39516129,0.706196581,0.413555586,0.70570944,0.262587822,0.557832423,0.278688525,0.557377049,0.191666667,0.510683761,0.284769511,0.621626423,0.17000464,0.467700186,0.524590164,0.590163934,0.512527233,0.791666667,0.556585749,0.725977056,0.389700641,0.574401009,0.540983607,0.573770492,0.540983607,0.573770492,0.70212766,0.729166667,0.540983607,0.573770492,0.459016393,0.590163934,0.323863636,0.575854701,0.494613583,0.649654096,0.353113327,0.496487119,0.442622951,0.557377049,0.383333333,0.283333333,0.495301337,0.70405522,0.341448213,0.548239721,0.409836066,0.573770492,0.28068224,0.54245283,0.424736367,0.643004296,0.27425924,0.490020132,0.426229508,0.639344262,0.413398693,0.649659864,0.431278561,0.675726201,0.276829966,0.522301268,0.573770492,0.573770492,0.568475452,0.573770492,0.619068162,0.729166667,0.450934472,0.573770492,0.540983607,0.573770492,0.540983607,0.573770492,0.70212766,0.729166667,0.540983607,0.573770492,0.426229508,0.262295082,0.270833333,0.307692308,0.505160899,0.223595808,0.371982116,0.15154827,0.540983607,0.573770492,0.540983607,0.573770492,0.70212766,0.729166667,0.540983607,0.573770492,0.409836066,0.62295082,0.223325062,0.641025641,0.421500526,0.677681768,0.272358834,0.526501876,0.540983607,0.573770492,0.522727273,0.573770492,0.637452711,0.729166667,0.479194829,0.573770492
9,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.524590164,0.590163934,0.370915033,0.459134615,0.539646001,0.611955997,0.376888065,0.470544295,0.229508197,0.68852459,0.326118326,0.597272727,0.188602022,0.714394257,0.107575271,0.579137393,0.31147541,0.62295082,0.194642857,0.540106952,0.294384374,0.626170287,0.182563338,0.477331826,0.475409836,0.606557377,0.318095238,0.443137255,0.501261034,0.646021227,0.339464214,0.508581444,0.360655738,0.655737705,0.350877193,0.541818182,0.326910794,0.684330495,0.207045277,0.546540121,0.524590164,0.68852459,0.549741602,0.520114943,0.561256061,0.776636446,0.391533269,0.652185792,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.360655738,0.655737705,0.327777778,0.522435897,0.370668848,0.696807593,0.228676645,0.562252685,0.573770492,0.704918033,0.640306122,0.605932203,0.633268371,0.799807136,0.468531019,0.678774806,0.360655738,0.590163934,0.270955166,0.459134615,0.369200199,0.611955997,0.231519035,0.470544295,0.459016393,0.557377049,0.245817246,0.45855615,0.475063052,0.561156424,0.317170654,0.415597428,0.508196721,0.704918033,0.74137931,0.704918033,0.628974457,0.826923077,0.464480874,0.704918033,0.475409836,0.704918033,0.733333333,0.704918033,0.627102406,0.826923077,0.459623558,0.704918033,0.327868852,0.459016393,0.243902439,0.341463415,0.389641245,0.448087432,0.274339244,0.336065574,0.459016393,0.704918033,0.459016393,0.704918033,0.629213483,0.826923077,0.459016393,0.704918033,0.508196721,0.672131148,0.279032258,0.521212121,0.512076004,0.734024757,0.355246211,0.604940766,0.475409836,0.704918033,0.733333333,0.704918033,0.627102406,0.826923077,0.459623558,0.704918033
10,0.409836066,0.721311475,0.409836066,0.721311475,0.581395349,0.838095238,0.409836066,0.721311475,0.409836066,0.573770492,0.334396598,0.447826087,0.39821368,0.582354281,0.259983186,0.441492369,0.213114754,0.295081967,0.184210526,0.641666667,0.212001237,0.435048376,0.12724434,0.279061103,0.344262295,0.590163934,0.265552995,0.515853659,0.344849377,0.58078136,0.216142715,0.430075477,0.37704918,0.704918033,0.199754902,0.584656085,0.388693829,0.75133824,0.244951295,0.626907858,0.606557377,0.62295082,0.318965517,0.504559271,0.61627201,0.634980038,0.456136464,0.493592816,0.37704918,0.672131148,0.371818182,0.353448276,0.449648712,0.764384442,0.297084925,0.639075517,0.409836066,0.721311475,0.409836066,0.721311475,0.581395349,0.838095238,0.409836066,0.721311475,0.278688525,0.606557377,0.174172794,0.469551282,0.272145528,0.624233785,0.16525812,0.484956975,0.426229508,0.721311475,0.442307692,0.721311475,0.449398778,0.838095238,0.290175086,0.721311475,0.360655738,0.573770492,0.188988095,0.385454545,0.395816523,0.60583487,0.254392361,0.471159684,0.344262295,0.639344262,0.267149758,0.518429487,0.336369156,0.655547636,0.208643815,0.515962036,0.459016393,0.721311475,0.614285714,0.721311475,0.562234366,0.838095238,0.396786022,0.721311475,0.442622951,0.721311475,0.458237986,0.721311475,0.464220661,0.838095238,0.302400468,0.721311475,0.098360656,0.196721311,0.157894737,0.315789474,0.084947839,0.118657299,0.049180328,0.073288332,0.409836066,0.721311475,0.409836066,0.721311475,0.581395349,0.838095238,0.409836066,0.721311475,0.344262295,0.672131148,0.210714286,0.551818182,0.337905654,0.696796054,0.209836066,0.562122519,0.426229508,0.721311475,0.708333333,0.721311475,0.579616683,0.838095238,0.410364886,0.721311475
11,0.475409836,0.770491803,0.475409836,0.770491803,0.644444444,0.87037037,0.475409836,0.770491803,0.475409836,0.68852459,0.250992063,0.56884058,0.505140913,0.684828923,0.348085272,0.549473068,0.278688525,0.737704918,0.378703704,0.510964912,0.217493779,0.797954323,0.128040719,0.689103182,0.409836066,0.606557377,0.279569892,0.551238739,0.418308752,0.578207815,0.269422666,0.425818203,0.37704918,0.754098361,0.373076923,0.637272727,0.410860656,0.765049856,0.259016393,0.645199063,0.344262295,0.655737705,0.334770115,0.544786096,0.339913719,0.644754505,0.206261565,0.504413619,0.475409836,0.754098361,0.463194444,0.554597701,0.535270387,0.820774211,0.371333849,0.716188525,0.475409836,0.770491803,0.475409836,0.770491803,0.644444444,0.87037037,0.475409836,0.770491803,0.016393443,0.639344262,0.016393443,0.490121581,0.032258065,0.639344262,0.016393443,0.505777275,0.442622951,0.737704918,0.228813559,0.381355932,0.593517139,0.821218682,0.428110723,0.713517872,0.475409836,0.639344262,0.318095238,0.490121581,0.51458406,0.639344262,0.349746575,0.505777275,0.426229508,0.557377049,0.410755149,0.4902746,0.468781774,0.526977508,0.310363224,0.381513466,0.426229508,0.770491803,0.375490196,0.770491803,0.51147541,0.87037037,0.354318527,0.770491803,0.475409836,0.770491803,0.475409836,0.770491803,0.644444444,0.87037037,0.475409836,0.770491803,0.37704918,0.262295082,0.225490196,0.363636364,0.480737705,0.167260632,0.337359793,0.108877204,0.475409836,0.770491803,0.475409836,0.770491803,0.644444444,0.87037037,0.475409836,0.770491803,0.409836066,0.704918033,0.221153846,0.582826748,0.427665092,0.704918033,0.279825869,0.57272681,0.442622951,0.770491803,0.228813559,0.770491803,0.593517139,0.87037037,0.428110723,0.770491803
12,0.459016393,0.672131148,0.459016393,0.672131148,0.629213483,0.803921569,0.459016393,0.672131148,0.360655738,0.524590164,0.202731092,0.389423077,0.368450095,0.556316527,0.231615021,0.413860481,0.278688525,0.344262295,0.311904762,0.460714286,0.316186298,0.445549012,0.200182149,0.29062537,0.459016393,0.557377049,0.31031746,0.49122807,0.461804472,0.560385299,0.309661116,0.407153502,0.426229508,0.62295082,0.398412698,0.430357143,0.439248981,0.706912287,0.282570305,0.569535519,0.442622951,0.590163934,0.291666667,0.487179487,0.429197656,0.617514247,0.290707247,0.471155277,0.508196721,0.655737705,0.377248677,0.333333333,0.55057092,0.779094303,0.38707811,0.644987906,0.459016393,0.672131148,0.459016393,0.672131148,0.629213483,0.803921569,0.459016393,0.672131148,0.426229508,0.672131148,0.443333333,0.672131148,0.522656578,0.803921569,0.359555035,0.672131148,0.409836066,0.639344262,0.283597884,0.330508475,0.454628686,0.75442623,0.301291605,0.618382155,0.426229508,0.508196721,0.29197995,0.37993921,0.455625391,0.534825107,0.299865272,0.393060572,0.540983607,0.524590164,0.368585977,0.435828877,0.577501051,0.53547395,0.409627895,0.388108871,0.524590164,0.672131148,0.662121212,0.672131148,0.618337974,0.803921569,0.45363448,0.672131148,0.491803279,0.672131148,0.52826087,0.672131148,0.549021924,0.803921569,0.381812922,0.672131148,0.147540984,0.098360656,0.1875,0.5,0.136191677,0.025113359,0.082348456,0.014394242,0.459016393,0.672131148,0.459016393,0.672131148,0.629213483,0.803921569,0.459016393,0.672131148,0.31147541,0.590163934,0.161151961,0.54047619,0.328171036,0.587695786,0.199344262,0.429884993,0.475409836,0.672131148,0.566091954,0.672131148,0.604052067,0.803921569,0.438903969,0.672131148
